Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,UK Size,EU Size,BR Size,MX Size,CA Size,Style,Type,Material,Pattern Type,Decoration,Occasion,Toe,Heel Height,Package Include,HEEL HEIGHT
Sequins Lace-up Muffin Sneakers,$22.42,$29.89,Silver,SKU: LZTA018-bwsd2-si,"""https://image.geeko.ltd/small/d5751d80-80bb-4621-b26e-dfba42182433-54076-pc"", ""https://image.geeko.ltd/small/d5751d80-80bb-4621-b26e-dfba42182433-54076-pc"", ""https://image.geeko.ltd/small/d5751d80-80bb-4621-b26e-dfba42182433-54076-pc-sec"", ""https://image.geeko.ltd/small/d5751d80-80bb-4621-b26e-dfba42182433-54076-pc-0""","US6, US7, US8, US8.5, US9.5, US10, US11","UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","37, 38, 39, 40, 41, 42, 43","BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Casual, Sneakers, Sequin, Plain, Contrast Sequin, Daily, Round Toe, Flat, 1*Sneakers,
Sequins Lace-up Muffin Sneakers,$22.42,$29.89,Blue,SKU: LZTA018-bwsd2-bl,"""https://image.geeko.ltd/small/eeee5811-37cf-4ece-940a-db3de4753802-20209-pc"", ""https://image.geeko.ltd/small/eeee5811-37cf-4ece-940a-db3de4753802-20209-pc"", ""https://image.geeko.ltd/small/eeee5811-37cf-4ece-940a-db3de4753802-20209-pc-sec"", ""https://image.geeko.ltd/small/eeee5811-37cf-4ece-940a-db3de4753802-20209-pc-0""","US6, US7, US8, US8.5, US9.5, US10, US11","UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","37, 38, 39, 40, 41, 42, 43","BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Casual, Sneakers, Sequin, Plain, Contrast Sequin, Daily, Round Toe, Flat, 1*Sneakers,
Rhinestone Floral Pattern Hollow Out Flip Flops Slippers,$6.99,$12.4,Black,SKU: LZT5334A3-bwsd-bk,"""https://image.geeko.ltd/small/9d90f687-3862-4ed6-a24b-146dbe91d9d1-01967-pc"", ""https://image.geeko.ltd/small/9d90f687-3862-4ed6-a24b-146dbe91d9d1-01967-pc"", ""https://image.geeko.ltd/small/9d90f687-3862-4ed6-a24b-146dbe91d9d1-01967-pc-sec"", ""https://image.geeko.ltd/small/9d90f687-3862-4ed6-a24b-146dbe91d9d1-01967-pc-0""","US5.5, US6, US7, US8.5, US8, US9.5, US10, US11, US11.5, US12","UK3, UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK8.5, UK9.5, UK10","36, 37, 38, 40, 39, 41, 42, 43, 44, 45","BR33, BR34, BR35, BR37, BR36, BR38, BR39, BR40, BR41, BR42","EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR43(27), EUR44(27.5), EUR45(28)","CA5.5, CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11, CA11.5, CA12", Chic, Slippers,, Floral,," Beach,Daily,Vacation", Toe Post, Flat, 1*Slippers,
Rhinestone Floral Pattern Hollow Out Flip Flops Slippers,$6.99,$12.4,Gold,SKU: LZT5334A3-bwsd-gd,"""https://image.geeko.ltd/small/a9b0c734-edf3-4f6c-ad46-6ee52c5c9bea-41761-pc"", ""https://image.geeko.ltd/small/a9b0c734-edf3-4f6c-ad46-6ee52c5c9bea-41761-pc"", ""https://image.geeko.ltd/small/a9b0c734-edf3-4f6c-ad46-6ee52c5c9bea-41761-pc-sec"", ""https://image.geeko.ltd/small/a9b0c734-edf3-4f6c-ad46-6ee52c5c9bea-41761-pc-0""","US5.5, US6, US7, US8.5, US8, US9.5, US10, US11.5, US11, US12","UK3, UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK9.5, UK8.5, UK10","36, 37, 38, 40, 39, 41, 42, 44, 43, 45","BR33, BR34, BR35, BR37, BR36, BR38, BR39, BR41, BR40, BR42","EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR44(27.5), EUR43(27), EUR45(28)","CA5.5, CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11.5, CA11, CA12", Chic, Slippers,, Floral,," Beach,Daily,Vacation", Toe Post, Flat, 1*Slippers,
Rhinestone Floral Pattern Hollow Out Flip Flops Slippers,$6.99,$12.4,Silver,SKU: LZT5334A3-bwsd-si,"""https://image.geeko.ltd/small/e2f7eae0-7846-4152-83fb-2da66629154f-39827-pc"", ""https://image.geeko.ltd/small/e2f7eae0-7846-4152-83fb-2da66629154f-39827-pc"", ""https://image.geeko.ltd/small/e2f7eae0-7846-4152-83fb-2da66629154f-39827-pc-sec"", ""https://image.geeko.ltd/small/e2f7eae0-7846-4152-83fb-2da66629154f-39827-pc-0""","US5.5, US6, US7, US8.5, US8, US9.5, US10, US11.5, US11, US12","UK3, UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK9.5, UK8.5, UK10","36, 37, 38, 40, 39, 41, 42, 44, 43, 45","BR33, BR34, BR35, BR37, BR36, BR38, BR39, BR41, BR40, BR42","EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR44(27.5), EUR43(27), EUR45(28)","CA5.5, CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11.5, CA11, CA12", Chic, Slippers,, Floral,," Beach,Daily,Vacation", Toe Post, Flat, 1*Slippers,
Rhinestone Floral Pattern Hollow Out Flip Flops Slippers,$6.99,$12.4,Hot Pink,SKU: LZT5334A3-bwsd-hp,"""https://image.geeko.ltd/small/012ba951-14c8-425d-bc39-eddbec2f84c9-34285-pc"", ""https://image.geeko.ltd/small/012ba951-14c8-425d-bc39-eddbec2f84c9-34285-pc"", ""https://image.geeko.ltd/small/012ba951-14c8-425d-bc39-eddbec2f84c9-34285-pc-sec"", ""https://image.geeko.ltd/small/012ba951-14c8-425d-bc39-eddbec2f84c9-34285-pc-0"", ""https://image.geeko.ltd/small/012ba951-14c8-425d-bc39-eddbec2f84c9-34285-pc-1"", ""https://image.geeko.ltd/small/012ba951-14c8-425d-bc39-eddbec2f84c9-34285-pc-2"", ""https://image.geeko.ltd/small/012ba951-14c8-425d-bc39-eddbec2f84c9-34285-pc-3"", ""https://image.geeko.ltd/small/012ba951-14c8-425d-bc39-eddbec2f84c9-34285-pc-4""","US5.5, US6, US7, US8, US8.5, US9.5, US10, US11.5, US11, US12","UK3, UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK9.5, UK8.5, UK10","36, 37, 38, 39, 40, 41, 42, 44, 43, 45","BR33, BR34, BR35, BR36, BR37, BR38, BR39, BR41, BR40, BR42","EUR36(23), EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR44(27.5), EUR43(27), EUR45(28)","CA5.5, CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11.5, CA11, CA12", Chic, Slippers,, Floral,," Beach,Daily,Vacation", Toe Post, Flat, 1*Slippers,
Rhinestone Floral Pattern Hollow Out Flip Flops Slippers,$6.99,$12.4,Green,SKU: LZT5334A3-bwsd-gr,"""https://image.geeko.ltd/small/a47d4775-24fc-4baa-a06d-b512c64b2ad8-56009-pc"", ""https://image.geeko.ltd/small/a47d4775-24fc-4baa-a06d-b512c64b2ad8-56009-pc"", ""https://image.geeko.ltd/small/a47d4775-24fc-4baa-a06d-b512c64b2ad8-56009-pc-sec"", ""https://image.geeko.ltd/small/a47d4775-24fc-4baa-a06d-b512c64b2ad8-56009-pc-0"", ""https://image.geeko.ltd/small/a47d4775-24fc-4baa-a06d-b512c64b2ad8-56009-pc-1"", ""https://image.geeko.ltd/small/a47d4775-24fc-4baa-a06d-b512c64b2ad8-56009-pc-2""","US5.5, US6, US7, US8.5, US8, US9.5, US10, US11, US11.5, US12","UK3, UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK8.5, UK9.5, UK10","36, 37, 38, 40, 39, 41, 42, 43, 44, 45","BR33, BR34, BR35, BR37, BR36, BR38, BR39, BR40, BR41, BR42","EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR43(27), EUR44(27.5), EUR45(28)","CA5.5, CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11, CA11.5, CA12", Chic, Slippers,, Floral,," Beach,Daily,Vacation", Toe Post, Flat, 1*Slippers,
Floral Pattern Toe Post Sandals,,$15.81,White,SKU: LZT5366-bwsd2-w,"""https://image.geeko.ltd/small/ade1c3cc-0a87-49e2-99e2-9b2b76a468cb-03622-pc"", ""https://image.geeko.ltd/small/ade1c3cc-0a87-49e2-99e2-9b2b76a468cb-03622-pc"", ""https://image.geeko.ltd/small/ade1c3cc-0a87-49e2-99e2-9b2b76a468cb-03622-pc-sec"", ""https://image.geeko.ltd/small/ade1c3cc-0a87-49e2-99e2-9b2b76a468cb-03622-pc-0"", ""https://image.geeko.ltd/small/ade1c3cc-0a87-49e2-99e2-9b2b76a468cb-03622-pc-1"", ""https://image.geeko.ltd/small/ade1c3cc-0a87-49e2-99e2-9b2b76a468cb-03622-pc-2""","US6, US7, US8.5, US8, US9.5, US10","UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5","37, 38, 40, 39, 41, 42","BR34, BR35, BR37, BR36, BR38, BR39","EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5)","CA6, CA7, CA8.5, CA8, CA9.5, CA10.5"," Casual,Chic", Flat Sandals, PU, Floral,," Daily,Vacation", Toe Post, Flat, 1*Sandals,
Floral Pattern Toe Post Sandals,,$15.81,Apricot,SKU: LZT5366-bwsd2-Ap,"""https://image.geeko.ltd/small/d7041fdc-dc8a-4873-8884-9bb8de18382b-21968-pc"", ""https://image.geeko.ltd/small/d7041fdc-dc8a-4873-8884-9bb8de18382b-21968-pc"", ""https://image.geeko.ltd/small/d7041fdc-dc8a-4873-8884-9bb8de18382b-21968-pc-sec"", ""https://image.geeko.ltd/small/d7041fdc-dc8a-4873-8884-9bb8de18382b-21968-pc-0"", ""https://image.geeko.ltd/small/d7041fdc-dc8a-4873-8884-9bb8de18382b-21968-pc-1"", ""https://image.geeko.ltd/small/d7041fdc-dc8a-4873-8884-9bb8de18382b-21968-pc-2""","US6, US7, US8.5, US8, US9.5, US10","UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5","37, 38, 40, 39, 41, 42","BR34, BR35, BR37, BR36, BR38, BR39","EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5)","CA6, CA7, CA8.5, CA8, CA9.5, CA10.5"," Casual,Chic", Flat Sandals, PU, Floral,," Daily,Vacation", Toe Post, Flat, 1*Sandals,
Lace Up Plain Platform Sneakers Octopus Trainers,$20.38,$27.17,Gray,SKU: LZT5575-bwsd2-ga,"""https://image.geeko.ltd/small/16d32877-34b4-476e-90f0-b129a0ffb8af-10229-pc"", ""https://image.geeko.ltd/small/16d32877-34b4-476e-90f0-b129a0ffb8af-10229-pc"", ""https://image.geeko.ltd/small/16d32877-34b4-476e-90f0-b129a0ffb8af-10229-pc-sec"", ""https://image.geeko.ltd/small/16d32877-34b4-476e-90f0-b129a0ffb8af-10229-pc-0"", ""https://image.geeko.ltd/small/16d32877-34b4-476e-90f0-b129a0ffb8af-10229-pc-1""","US6, US7, US8, US8.5, US9.5, US10, US11","UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","37, 38, 39, 40, 41, 42, 43","BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Casual, Sneakers, Rib-Knit, Plain, Lace-up,, Round Toe, Flat, 1*Sneakers,
Lace Up Plain Platform Sneakers Octopus Trainers,$20.38,$27.17,Black,SKU: LZT5575-bwsd2-bk,"""https://image.geeko.ltd/small/b99649b7-3db3-4464-8b32-89b9d4c5e777-37941-pc"", ""https://image.geeko.ltd/small/b99649b7-3db3-4464-8b32-89b9d4c5e777-37941-pc"", ""https://image.geeko.ltd/small/b99649b7-3db3-4464-8b32-89b9d4c5e777-37941-pc-sec"", ""https://image.geeko.ltd/small/b99649b7-3db3-4464-8b32-89b9d4c5e777-37941-pc-0"", ""https://image.geeko.ltd/small/b99649b7-3db3-4464-8b32-89b9d4c5e777-37941-pc-1""","US6, US7, US8.5, US8, US9.5, US10, US11","UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK8.5","37, 38, 40, 39, 41, 42, 43","BR34, BR35, BR37, BR36, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11", Casual, Sneakers, Rib-Knit, Plain, Lace-up,, Round Toe, Flat, 1*Sneakers,
Rhinestone Square Toe Wedding Shoes,$9.38,$12.51,Gold,SKU: LZT5471-bwsd-gd,"""https://image.geeko.ltd/small/0fbeac70-3fba-416d-9104-c7fe397151de-65102-pc"", ""https://image.geeko.ltd/small/0fbeac70-3fba-416d-9104-c7fe397151de-65102-pc"", ""https://image.geeko.ltd/small/0fbeac70-3fba-416d-9104-c7fe397151de-65102-pc-sec"", ""https://image.geeko.ltd/small/0fbeac70-3fba-416d-9104-c7fe397151de-65102-pc-0"", ""https://image.geeko.ltd/small/0fbeac70-3fba-416d-9104-c7fe397151de-65102-pc-1""","US4.5, US5.5, US6, US7, US8.5, US8, US9.5, US10","UK2, UK3, UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5","35, 36, 37, 38, 40, 39, 41, 42","BR32, BR33, BR34, BR35, BR37, BR36, BR38, BR39","EUR35(22.5), EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5)","CA5, CA5.5, CA6, CA7, CA8.5, CA8, CA9.5, CA10.5", Chic, Heeled-Sandals, PU, Geometric, Rhinestone," Daily,Party,Wedding Guest", Square Toe, Low Heel, 1*Sandals,
Rhinestone Square Toe Wedding Shoes,$9.38,$12.51,Silver,SKU: LZT5471-bwsd-si,"""https://image.geeko.ltd/small/738a192b-9efb-47f6-8062-2d649d1ed982-27843-pc"", ""https://image.geeko.ltd/small/738a192b-9efb-47f6-8062-2d649d1ed982-27843-pc"", ""https://image.geeko.ltd/small/738a192b-9efb-47f6-8062-2d649d1ed982-27843-pc-sec"", ""https://image.geeko.ltd/small/738a192b-9efb-47f6-8062-2d649d1ed982-27843-pc-0"", ""https://image.geeko.ltd/small/738a192b-9efb-47f6-8062-2d649d1ed982-27843-pc-1"", ""https://image.geeko.ltd/small/738a192b-9efb-47f6-8062-2d649d1ed982-27843-pc-2"", ""https://image.geeko.ltd/small/738a192b-9efb-47f6-8062-2d649d1ed982-27843-pc-3""","US4.5, US5.5, US6, US7, US8, US8.5, US9.5, US10","UK2, UK3, UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5","35, 36, 37, 38, 39, 40, 41, 42","BR32, BR33, BR34, BR35, BR36, BR37, BR38, BR39","EUR35(22.5), EUR36(23), EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5)","CA5, CA5.5, CA6, CA7, CA8, CA8.5, CA9.5, CA10.5", Chic, Heeled-Sandals, PU, Geometric, Rhinestone," Daily,Party,Wedding Guest", Square Toe, Low Heel, 1*Sandals,
Zipper Knee-High Thin Heel Boots Pointed Toe Long Sexy Stiletto Heel,$43.51,$58.01,,SKU: LZT2250-bwsd-bk,"""https://image.geeko.ltd/small/6b07b320-0b79-4a2a-86e5-66ee5f79743d-54598-pc"", ""https://image.geeko.ltd/small/6b07b320-0b79-4a2a-86e5-66ee5f79743d-54598-pc"", ""https://image.geeko.ltd/small/6b07b320-0b79-4a2a-86e5-66ee5f79743d-54598-pc-sec"", ""https://image.geeko.ltd/small/6b07b320-0b79-4a2a-86e5-66ee5f79743d-54598-pc-0"", ""https://image.geeko.ltd/small/6b07b320-0b79-4a2a-86e5-66ee5f79743d-54598-pc-1"", ""https://image.geeko.ltd/small/6b07b320-0b79-4a2a-86e5-66ee5f79743d-54598-pc-2""","US6, US7, US8, US8.5, US9.5, US10, US11","UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","37, 38, 39, 40, 41, 42, 43","BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Sexy, Boots, 100%PU, Plain,," Daily,Night Out,Party", Point Toe, High Heel, 1*Woman Shoes, 11.5cm
Floral Pattern Embroidery Dot Print Sneakers,,$21.76,Lighted Blue,SKU: LZT2935-bwsd-lb,"""https://image.geeko.ltd/small/05ad7e5d-f338-4a4b-b0aa-f448911ed4c3-06203-pc"", ""https://image.geeko.ltd/small/05ad7e5d-f338-4a4b-b0aa-f448911ed4c3-06203-pc"", ""https://image.geeko.ltd/small/05ad7e5d-f338-4a4b-b0aa-f448911ed4c3-06203-pc-sec"", ""https://image.geeko.ltd/small/05ad7e5d-f338-4a4b-b0aa-f448911ed4c3-06203-pc-0"", ""https://image.geeko.ltd/small/05ad7e5d-f338-4a4b-b0aa-f448911ed4c3-06203-pc-1"", ""https://image.geeko.ltd/small/05ad7e5d-f338-4a4b-b0aa-f448911ed4c3-06203-pc-2"", ""https://image.geeko.ltd/small/05ad7e5d-f338-4a4b-b0aa-f448911ed4c3-06203-pc-3""","US5.5, US6, US7, US8.5, US8","UK3, UK3.5, UK4.5, UK6, UK5.5","36, 37, 38, 40, 39","BR33, BR34, BR35, BR37, BR36","EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25)","CA5.5, CA6, CA7, CA8.5, CA8", Fashion, Sneakers," Polyester,Mesh", Contrast Paneled,, Daily, Round Toe, Flat, 1*Sneakers,
Floral Pattern Embroidery Dot Print Sneakers,,$21.76,Dark Blue,SKU: LZT2935-bwsd-db,"""https://image.geeko.ltd/small/b0fe3656-7e61-422d-8461-6fb99383cf2b-93230-pc"", ""https://image.geeko.ltd/small/b0fe3656-7e61-422d-8461-6fb99383cf2b-93230-pc"", ""https://image.geeko.ltd/small/b0fe3656-7e61-422d-8461-6fb99383cf2b-93230-pc-sec"", ""https://image.geeko.ltd/small/b0fe3656-7e61-422d-8461-6fb99383cf2b-93230-pc-0"", ""https://image.geeko.ltd/small/b0fe3656-7e61-422d-8461-6fb99383cf2b-93230-pc-1"", ""https://image.geeko.ltd/small/b0fe3656-7e61-422d-8461-6fb99383cf2b-93230-pc-2"", ""https://image.geeko.ltd/small/b0fe3656-7e61-422d-8461-6fb99383cf2b-93230-pc-3""","US5.5, US6, US7, US8.5, US8","UK3, UK3.5, UK4.5, UK6, UK5.5","36, 37, 38, 40, 39","BR33, BR34, BR35, BR37, BR36","EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25)","CA5.5, CA6, CA7, CA8.5, CA8", Fashion, Sneakers," Polyester,Mesh", Contrast Paneled,, Daily, Round Toe, Flat, 1*Sneakers,
