Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,UK Size,EU Size,BR Size,MX Size,CA Size,Style,Type,Material,Pattern Type,Decoration,Occasion,Toe,Heel Height,Package Include,HEEL HEIGHT
Plants Print Buckled Point Toe Chunky Sandals,$26.09,$34.78,Blue,SKU: LZT7188A1-bwsd-bl,"""https://image.geeko.ltd/small/956a62bb-f7c0-4b44-8666-1c36c219d505-02773-pc"", ""https://image.geeko.ltd/small/956a62bb-f7c0-4b44-8666-1c36c219d505-02773-pc"", ""https://image.geeko.ltd/small/956a62bb-f7c0-4b44-8666-1c36c219d505-02773-pc-sec"", ""https://image.geeko.ltd/small/956a62bb-f7c0-4b44-8666-1c36c219d505-02773-pc-0""","US6, US7, US8, US8.5, US9.5, US10, US11","UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","37, 38, 39, 40, 41, 42, 43","BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Chic, Chunky,, Plants,, Vacation, Point Toe, Low Heel, 1*Chunky,
Plants Print Buckled Point Toe Chunky Sandals,$26.09,$34.78,Orange&Blue,SKU: LZT7188A1-bwsd-orbl,"""https://image.geeko.ltd/small/07904553-eb30-47ec-81a5-df409cc62c27-54672-pc"", ""https://image.geeko.ltd/small/07904553-eb30-47ec-81a5-df409cc62c27-54672-pc"", ""https://image.geeko.ltd/small/07904553-eb30-47ec-81a5-df409cc62c27-54672-pc-sec"", ""https://image.geeko.ltd/small/07904553-eb30-47ec-81a5-df409cc62c27-54672-pc-0"", ""https://image.geeko.ltd/small/07904553-eb30-47ec-81a5-df409cc62c27-54672-pc-1"", ""https://image.geeko.ltd/small/07904553-eb30-47ec-81a5-df409cc62c27-54672-pc-2""","US6, US7, US8, US8.5, US9.5, US10, US11","UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","37, 38, 39, 40, 41, 42, 43","BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Chic, Chunky,, Plants,, Vacation, Point Toe, Low Heel, 1*Chunky,
Plants Print Buckled Point Toe Chunky Sandals,$26.09,$34.78,Yellow,SKU: LZT7188A1-bwsd-y,"""https://image.geeko.ltd/small/436f738a-f1f1-4ba0-948e-ce2c8d84d4a6-66865-pc"", ""https://image.geeko.ltd/small/436f738a-f1f1-4ba0-948e-ce2c8d84d4a6-66865-pc"", ""https://image.geeko.ltd/small/436f738a-f1f1-4ba0-948e-ce2c8d84d4a6-66865-pc-sec"", ""https://image.geeko.ltd/small/436f738a-f1f1-4ba0-948e-ce2c8d84d4a6-66865-pc-0""","US6, US7, US8, US8.5, US9.5, US10, US11","UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","37, 38, 39, 40, 41, 42, 43","BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Chic, Chunky,, Plants,, Vacation, Point Toe, Low Heel, 1*Chunky,
Braided Floral Pattern Toe Post Beach Flip Flops,,$17.71,White,SKU: LZT5380-bwsd2-w,"""https://image.geeko.ltd/small/2767f315-ce1c-49e4-9722-42bb6805d865-39244-pc"", ""https://image.geeko.ltd/small/2767f315-ce1c-49e4-9722-42bb6805d865-39244-pc"", ""https://image.geeko.ltd/small/2767f315-ce1c-49e4-9722-42bb6805d865-39244-pc-sec"", ""https://image.geeko.ltd/small/2767f315-ce1c-49e4-9722-42bb6805d865-39244-pc-0"", ""https://image.geeko.ltd/small/2767f315-ce1c-49e4-9722-42bb6805d865-39244-pc-1"", ""https://image.geeko.ltd/small/2767f315-ce1c-49e4-9722-42bb6805d865-39244-pc-2"", ""https://image.geeko.ltd/small/2767f315-ce1c-49e4-9722-42bb6805d865-39244-pc-3"", ""https://image.geeko.ltd/small/2767f315-ce1c-49e4-9722-42bb6805d865-39244-pc-4"", ""https://image.geeko.ltd/small/2767f315-ce1c-49e4-9722-42bb6805d865-39244-pc-5""","US6, US7, US8.5, US8, US9.5, US10, US11","UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK8.5","37, 38, 40, 39, 41, 42, 43","BR34, BR35, BR37, BR36, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11", Chic, Flip Flops,, Floral,," Daily,Vacation", Toe Post, Flat, 1*Flip Flops,
Braided Floral Pattern Toe Post Beach Flip Flops,,$17.71,Black,SKU: LZT5380-bwsd2-bk,"""https://image.geeko.ltd/small/a3816b76-6773-4de0-a2a9-a30eff0626f0-20899-pc"", ""https://image.geeko.ltd/small/a3816b76-6773-4de0-a2a9-a30eff0626f0-20899-pc"", ""https://image.geeko.ltd/small/a3816b76-6773-4de0-a2a9-a30eff0626f0-20899-pc-sec"", ""https://image.geeko.ltd/small/a3816b76-6773-4de0-a2a9-a30eff0626f0-20899-pc-0""","US6, US7, US8, US8.5, US9.5, US10, US11","UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","37, 38, 39, 40, 41, 42, 43","BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Chic, Flip Flops,, Floral,," Daily,Vacation", Toe Post, Flat, 1*Flip Flops,
Braided Floral Pattern Toe Post Beach Flip Flops,,$17.71,Apricot,SKU: LZT5380-bwsd2-Ap,"""https://image.geeko.ltd/small/81bcdd8d-7912-4fc7-8f9f-a3c079805941-23163-pc"", ""https://image.geeko.ltd/small/81bcdd8d-7912-4fc7-8f9f-a3c079805941-23163-pc"", ""https://image.geeko.ltd/small/81bcdd8d-7912-4fc7-8f9f-a3c079805941-23163-pc-sec"", ""https://image.geeko.ltd/small/81bcdd8d-7912-4fc7-8f9f-a3c079805941-23163-pc-0"", ""https://image.geeko.ltd/small/81bcdd8d-7912-4fc7-8f9f-a3c079805941-23163-pc-1"", ""https://image.geeko.ltd/small/81bcdd8d-7912-4fc7-8f9f-a3c079805941-23163-pc-2"", ""https://image.geeko.ltd/small/81bcdd8d-7912-4fc7-8f9f-a3c079805941-23163-pc-3"", ""https://image.geeko.ltd/small/81bcdd8d-7912-4fc7-8f9f-a3c079805941-23163-pc-4""","US6, US7, US8, US8.5, US9.5, US10, US11","UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","37, 38, 39, 40, 41, 42, 43","BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Chic, Flip Flops,, Floral,," Daily,Vacation", Toe Post, Flat, 1*Flip Flops,
Lace-Up Skeleton Zipper Detail Casual Sneakers,,$33.4,,SKU: LZT2733-bwsd2-lb,"""https://image.geeko.ltd/small/3cce8bf3-9398-4953-9739-5d0570cdbace-10647-pc"", ""https://image.geeko.ltd/small/3cce8bf3-9398-4953-9739-5d0570cdbace-10647-pc"", ""https://image.geeko.ltd/small/3cce8bf3-9398-4953-9739-5d0570cdbace-10647-pc-sec"", ""https://image.geeko.ltd/small/3cce8bf3-9398-4953-9739-5d0570cdbace-10647-pc-0"", ""https://image.geeko.ltd/small/3cce8bf3-9398-4953-9739-5d0570cdbace-10647-pc-1""","US6, US7, US8.5, US8, US9.5, US10, US11","UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK8.5","37, 38, 40, 39, 41, 42, 43","BR34, BR35, BR37, BR36, BR38, BR39, BR40","EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR43(27)","CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11", Day Looks, Sneakers, 100%Canvas," Patchwork,Denim Blue",, Daily,,, 1*Sneakers,
Breathable Lace-up Round Toe Sneakers,$22.36,$29.81,,SKU: LZT8157-bwsd-w,"""https://image.geeko.ltd/small/33174014-e05e-4044-a9a4-c3a35a97ef4d-55514-pc"", ""https://image.geeko.ltd/small/33174014-e05e-4044-a9a4-c3a35a97ef4d-55514-pc"", ""https://image.geeko.ltd/small/33174014-e05e-4044-a9a4-c3a35a97ef4d-55514-pc-sec"", ""https://image.geeko.ltd/small/33174014-e05e-4044-a9a4-c3a35a97ef4d-55514-pc-0"", ""https://image.geeko.ltd/small/33174014-e05e-4044-a9a4-c3a35a97ef4d-55514-pc-1"", ""https://image.geeko.ltd/small/33174014-e05e-4044-a9a4-c3a35a97ef4d-55514-pc-2"", ""https://image.geeko.ltd/small/33174014-e05e-4044-a9a4-c3a35a97ef4d-55514-pc-3"", ""https://image.geeko.ltd/small/33174014-e05e-4044-a9a4-c3a35a97ef4d-55514-pc-4"", ""https://image.geeko.ltd/small/33174014-e05e-4044-a9a4-c3a35a97ef4d-55514-pc-5""","US6, US7, US8.5, US8, US9.5, US10, US11, US11.5","UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK8.5, UK9.5","37, 38, 40, 39, 41, 42, 43, 44","BR34, BR35, BR37, BR36, BR38, BR39, BR40, BR41","EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR43(27), EUR44(27.5)","CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11, CA11.5", Chic, Sneakers,, Plain,, Daily, Round Toe, Flat, 1*Sneakers,
Hollow Out Toe Post Beach Wedge Flip Flops,$16.03,$21.37,Nude,SKU: LZTA005-bwsd-nu,"""https://image.geeko.ltd/small/86f92dbc-d697-4929-a517-3548831b3a46-75371-pc"", ""https://image.geeko.ltd/small/86f92dbc-d697-4929-a517-3548831b3a46-75371-pc"", ""https://image.geeko.ltd/small/86f92dbc-d697-4929-a517-3548831b3a46-75371-pc-sec"", ""https://image.geeko.ltd/small/86f92dbc-d697-4929-a517-3548831b3a46-75371-pc-0"", ""https://image.geeko.ltd/small/86f92dbc-d697-4929-a517-3548831b3a46-75371-pc-1"", ""https://image.geeko.ltd/small/86f92dbc-d697-4929-a517-3548831b3a46-75371-pc-2"", ""https://image.geeko.ltd/small/86f92dbc-d697-4929-a517-3548831b3a46-75371-pc-3""","US5.5, US6, US7, US8.5, US8, US9.5, US10, US11","UK3, UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK8.5","36, 37, 38, 40, 39, 41, 42, 43","BR33, BR34, BR35, BR37, BR36, BR38, BR39, BR40","EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR43(27)","CA5.5, CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11", Chic, Flip Flops, PU, Plain, Hollow-out," Beach,Daily,Vacation", Toe Post, Low Heel, 1*Flip Flops,
Hollow Out Toe Post Beach Wedge Flip Flops,$16.03,$21.37,Black,SKU: LZTA005-bwsd-bk,"""https://image.geeko.ltd/small/b0e4dd1f-ab3b-4c28-8c97-03e31e803735-01917-pc"", ""https://image.geeko.ltd/small/b0e4dd1f-ab3b-4c28-8c97-03e31e803735-01917-pc"", ""https://image.geeko.ltd/small/b0e4dd1f-ab3b-4c28-8c97-03e31e803735-01917-pc-sec"", ""https://image.geeko.ltd/small/b0e4dd1f-ab3b-4c28-8c97-03e31e803735-01917-pc-0"", ""https://image.geeko.ltd/small/b0e4dd1f-ab3b-4c28-8c97-03e31e803735-01917-pc-1"", ""https://image.geeko.ltd/small/b0e4dd1f-ab3b-4c28-8c97-03e31e803735-01917-pc-2"", ""https://image.geeko.ltd/small/b0e4dd1f-ab3b-4c28-8c97-03e31e803735-01917-pc-3""","US5.5, US6, US7, US8, US8.5, US9.5, US10, US11","UK3, UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5","36, 37, 38, 39, 40, 41, 42, 43","BR33, BR34, BR35, BR36, BR37, BR38, BR39, BR40","EUR36(23), EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27)","CA5.5, CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11", Chic, Flip Flops, PU, Plain, Hollow-out," Beach,Daily,Vacation", Toe Post, Low Heel, 1*Flip Flops,
Floral Pattern Flip Flops Comfortable Casual Summer Beach Slippers,,$11.33,Black,SKU: LZT5334-bwsd-bk,"""https://image.geeko.ltd/small/84db65ca-e32d-46e2-8e5e-267d40771a91-34430-pc"", ""https://image.geeko.ltd/small/84db65ca-e32d-46e2-8e5e-267d40771a91-34430-pc"", ""https://image.geeko.ltd/small/84db65ca-e32d-46e2-8e5e-267d40771a91-34430-pc-sec"", ""https://image.geeko.ltd/small/84db65ca-e32d-46e2-8e5e-267d40771a91-34430-pc-0"", ""https://image.geeko.ltd/small/84db65ca-e32d-46e2-8e5e-267d40771a91-34430-pc-1"", ""https://image.geeko.ltd/small/84db65ca-e32d-46e2-8e5e-267d40771a91-34430-pc-2"", ""https://image.geeko.ltd/small/84db65ca-e32d-46e2-8e5e-267d40771a91-34430-pc-3"", ""https://image.geeko.ltd/small/84db65ca-e32d-46e2-8e5e-267d40771a91-34430-pc-4""","US5.5, US6, US7, US8, US8.5, US9.5, US10, US11.5, US11, US12","UK3, UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK9.5, UK8.5, UK10","36, 37, 38, 39, 40, 41, 42, 44, 43, 45","BR33, BR34, BR35, BR36, BR37, BR38, BR39, BR41, BR40, BR42","EUR36(23), EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR44(27.5), EUR43(27), EUR45(28)","CA5.5, CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11.5, CA11, CA12", Chic, Flip Flops,, Floral, Cutout, Daily," Round Toe,Toe Post", Flat, 1*Flip Flops,
Floral Pattern Flip Flops Comfortable Casual Summer Beach Slippers,,$11.33,Silver,SKU: LZT5334-bwsd-si,"""https://image.geeko.ltd/small/c204a5c5-087e-4e0c-8bb4-c391dc158d32-18199-pc"", ""https://image.geeko.ltd/small/c204a5c5-087e-4e0c-8bb4-c391dc158d32-18199-pc"", ""https://image.geeko.ltd/small/c204a5c5-087e-4e0c-8bb4-c391dc158d32-18199-pc-sec"", ""https://image.geeko.ltd/small/c204a5c5-087e-4e0c-8bb4-c391dc158d32-18199-pc-0"", ""https://image.geeko.ltd/small/c204a5c5-087e-4e0c-8bb4-c391dc158d32-18199-pc-1"", ""https://image.geeko.ltd/small/c204a5c5-087e-4e0c-8bb4-c391dc158d32-18199-pc-2"", ""https://image.geeko.ltd/small/c204a5c5-087e-4e0c-8bb4-c391dc158d32-18199-pc-3""","US5.5, US6, US7, US8, US8.5, US9.5, US10, US11, US11.5, US12","UK3, UK3.5, UK4.5, UK5.5, UK6, UK6.5, UK7.5, UK8.5, UK9.5, UK10","36, 37, 38, 39, 40, 41, 42, 43, 44, 45","BR33, BR34, BR35, BR36, BR37, BR38, BR39, BR40, BR41, BR42","EUR36(23), EUR37(23.5), EUR38(24), EUR39(25), EUR40(25.5), EUR41(26), EUR42(26.5), EUR43(27), EUR44(27.5), EUR45(28)","CA5.5, CA6, CA7, CA8, CA8.5, CA9.5, CA10.5, CA11, CA11.5, CA12", Chic, Flip Flops,, Floral, Cutout, Daily," Round Toe,Toe Post", Flat, 1*Flip Flops,
Floral Pattern Flip Flops Comfortable Casual Summer Beach Slippers,,$11.33,Gold,SKU: LZT5334-bwsd-gd,"""https://image.geeko.ltd/small/ef2c9aaf-4546-4226-9034-7de1eb0cd8bc-01685-pc"", ""https://image.geeko.ltd/small/ef2c9aaf-4546-4226-9034-7de1eb0cd8bc-01685-pc"", ""https://image.geeko.ltd/small/ef2c9aaf-4546-4226-9034-7de1eb0cd8bc-01685-pc-sec"", ""https://image.geeko.ltd/small/ef2c9aaf-4546-4226-9034-7de1eb0cd8bc-01685-pc-0"", ""https://image.geeko.ltd/small/ef2c9aaf-4546-4226-9034-7de1eb0cd8bc-01685-pc-1"", ""https://image.geeko.ltd/small/ef2c9aaf-4546-4226-9034-7de1eb0cd8bc-01685-pc-2"", ""https://image.geeko.ltd/small/ef2c9aaf-4546-4226-9034-7de1eb0cd8bc-01685-pc-3""","US5.5, US6, US7, US8.5, US8, US9.5, US10, US11.5, US11, US12","UK3, UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK9.5, UK8.5, UK10","36, 37, 38, 40, 39, 41, 42, 44, 43, 45","BR33, BR34, BR35, BR37, BR36, BR38, BR39, BR41, BR40, BR42","EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR44(27.5), EUR43(27), EUR45(28)","CA5.5, CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11.5, CA11, CA12", Chic, Flip Flops,, Floral, Cutout, Daily," Round Toe,Toe Post", Flat, 1*Flip Flops,
Floral Pattern Flip Flops Comfortable Casual Summer Beach Slippers,,$11.33,Green,SKU: LZT5334-bwsd-gr,"""https://image.geeko.ltd/small/be38e091-80e2-4bf3-bcb7-38ac43cb1bb1-02070-pc"", ""https://image.geeko.ltd/small/be38e091-80e2-4bf3-bcb7-38ac43cb1bb1-02070-pc"", ""https://image.geeko.ltd/small/be38e091-80e2-4bf3-bcb7-38ac43cb1bb1-02070-pc-sec"", ""https://image.geeko.ltd/small/be38e091-80e2-4bf3-bcb7-38ac43cb1bb1-02070-pc-0"", ""https://image.geeko.ltd/small/be38e091-80e2-4bf3-bcb7-38ac43cb1bb1-02070-pc-1"", ""https://image.geeko.ltd/small/be38e091-80e2-4bf3-bcb7-38ac43cb1bb1-02070-pc-2"", ""https://image.geeko.ltd/small/be38e091-80e2-4bf3-bcb7-38ac43cb1bb1-02070-pc-3"", ""https://image.geeko.ltd/small/be38e091-80e2-4bf3-bcb7-38ac43cb1bb1-02070-pc-4""","US5.5, US6, US7, US8.5, US8, US9.5, US10, US11, US11.5, US12","UK3, UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK8.5, UK9.5, UK10","36, 37, 38, 40, 39, 41, 42, 43, 44, 45","BR33, BR34, BR35, BR37, BR36, BR38, BR39, BR40, BR41, BR42","EUR36(23), EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR43(27), EUR44(27.5), EUR45(28)","CA5.5, CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11, CA11.5, CA12", Chic, Flip Flops,, Floral, Cutout, Daily," Round Toe,Toe Post", Flat, 1*Flip Flops,
Colorblock Lace-up Knit Breathable Sneakers Octopus Trainers,$19.42,$25.9,,SKU: LZT4295-bwsd2-mu,"""https://image.geeko.ltd/small/f5236cde-526c-4f37-965f-8b87b5161a75-96320-pc"", ""https://image.geeko.ltd/small/f5236cde-526c-4f37-965f-8b87b5161a75-96320-pc-sec"", ""https://image.geeko.ltd/small/f5236cde-526c-4f37-965f-8b87b5161a75-96320-pc-0""","US6, US7, US8.5, US8, US9.5, US10, US11.5, US11","UK3.5, UK4.5, UK6, UK5.5, UK6.5, UK7.5, UK9.5, UK8.5","37, 38, 40, 39, 41, 42, 44, 43","BR34, BR35, BR37, BR36, BR38, BR39, BR41, BR40","EUR37(23.5), EUR38(24), EUR40(25.5), EUR39(25), EUR41(26), EUR42(26.5), EUR44(27.5), EUR43(27)","CA6, CA7, CA8.5, CA8, CA9.5, CA10.5, CA11.5, CA11"," Chic,Sporty", Sneakers, Rib-Knit, Colorblock,, Daily, Round Toe, Flat, 1*Sneakers,
