Name,Discounted Price,Original Price,Images,"Looking for a refreshing way to calm your nerves in the middle of a busy day? Try Recess Peach Ginger Calming Hemp Extract & Adaptogen Infused Sparkling Water. With 10mg of hemp extract and adaptogens like L-theanine, ginseng, and lemon balm powder, this sparkling water is the perfect alternative to sugary drinks that can leave you feeling jittery. Made with peach juice concentrate, pear juice concentrate, and a tea infusion of apple, roasted chicory root, hibiscus, licorice root, peach, rose hips, and ginger, this beverage is bursting with natural flavors. Order Recess Peach Ginger Calming Hemp Extract & Adaptogen Infused Sparkling Water today on Instacart for same-day delivery or pickup.",Ingredients,Warnings,"Looking for a refreshing, calming drink to accompany your busy day? Try Recess pomegranate hibiscus sparkling water with hemp extract and adaptogens. This beverage is the perfect blend of sweet and tart with a touch of floral notes from hibiscus tea. Infused with 10mg of hemp extract, ginseng, L-theanine, and lemon balm powder, it's sure to calm your mind without causing drowsiness. And at only 20 calories per serving, it's a guilt-free way to hydrate. Plus, it's gluten-free and fat-free! Order Recess pomegranate hibiscus calming hemp extract & adaptogen infused sparkling water on Instacart for same-day delivery or pickup today.",Highlights,Gluten Free,"Quench your thirst and soothe your mind with Daytrip Coconut Pineapple Flavored Cbd-infused Sparkling Water. With just 5 calories and no fat, protein, or carbohydrates, this refreshing beverage is perfect for those who want to enjoy a fizzy drink without the guilt. The CBD from hemp in this drink is combined with terpenes and natural flavors, providing a calming effect that helps you relax. This sparkling water is also gluten-free, sugar-free, vegan, and vegetarian friendly. Just a small warning—it contains coconut! Get your hands on Daytrip Coconut Pineapple Flavored Cbd-infused Sparkling Water through Instacart's same-day delivery or pickup today.",Details,Directions,"Quench your thirst and calm your mind with Vybes Mind + Body Function Hemp juice. This pressed juice is made with blueberry, lemon, and white grape juices, along with green tea, magnesium citrate, and zinc citrate to promote relaxation. The addition of Colorado-grown hemp CBD can help reduce stress while providing a sense of balance. With no fat or gluten and low in calories and sugar, this organic, vegan-friendly drink is a delicious way to soothe your body and mind. Get it delivered to your door with Instacart's same-day delivery or pick it up from a store near you.","Craving something refreshing? Recess Blackberry Chai Calming Hemp Extract & Adaptogen Infused Sparkling Water might be just what you need. This beverage is made with filtered water, chai tea infusion, pear juice concentrate, blackberry juice concentrate, natural flavors, hemp extract, blackberry powder, ginseng powder, apple powder and monk fruit extract—making it a unique and flavorful sparkling water alternative. With only 15 calories and 3 grams of carbohydrates per serving, this beverage can help you quench your thirst without packing on the pounds. So why wait? Get your hands on Recess Blackberry Chai Calming Hemp Extract & Adaptogen Infused Sparkling Water today through Instacart's same-day delivery or pickups!","Quench your thirst while enjoying the benefits of Cannabidiol with Daytrip Tangerine CBD-Infused Sparkling Water. Made with all-natural ingredients like water, Citric Acid, Terpenes, and Natural Flavoring - it's Vegan and Vegetarian friendly, gluten-free and sugar-free - ensuring you never have to compromise on taste or quality. With only 5 calories per serving and 10mg of CBD extracted from hemp plants for a refreshing twist, this drink is perfect for an active lifestyle. Order now through Instacart for same-day delivery or pickup at your convenience. Stay refreshed with this perfect blend of relaxation and hydration!","Enjoy the refreshing taste of Daytrip Cherry Flavored CBD-Infused Sparkling Water, perfect for any occasion. With only 5 calories and 0g of fat, this sparkling water is guilt-free and great for staying hydrated. Made with natural flavor and cannabidiol from hemp, this beverage is gluten-free, vegan, and vegetarian-friendly. The added terpenes provide a unique aroma that complements the delicious cherry flavor. It's important to note that this product contains coconut. Whether you're looking to unwind after a long day or add some fun to your day-to-day routine, you'll love this sparkling water. Get yours now with Instacart same-day delivery or pickup!","You're in for a treat with Wyld CBD Raspberry Real-fruit Infused Sparkling Water. This refreshing drink is the perfect way to quench your thirst and satisfy your taste buds. With all-natural ingredients like real red raspberry juice, lemon juice, and broad-spectrum hemp extract, this carbonated water is a guilt-free indulgence that's both fat-free and gluten-free. And at only 10 calories per serving, it's a healthier alternative to traditional sodas. Plus, it comes with a warning for those with tree nut allergies as it's manufactured in a facility that also uses coconut. Experience the goodness of Wyld CBD Raspberry Real-fruit Infused Sparkling Water with Instacart same-day delivery or pickup today.",Milk Free,"Refresh your day with The Hemp Division Refresh CBD Tea. This invigorating tea is a blend of high-quality ingredients including organic green tea, peppermint, and 20mg of CBD per tea bag. CBD has calming properties and is known to help reduce stress and anxiety. The Hemp Division Refresh CBD Tea is Non-GMO Project Verified and gluten-free. Instacart offers same-day delivery or pickup, so you can enjoy the benefits of this delicious tea without leaving your home. Order now and enjoy the refreshing taste of The Hemp Division Refresh CBD Tea while receiving the potential health benefits that come with it.","Refresh yourself with Vybes Blackberry Hibiscus, the perfect herbal tea to quench your thirst! Made with all-natural ingredients, this bottled tea is a flavorful blend of blackberries and hibiscus. So what makes it so special? Well, it's not only delicious but also contains 25mg of CBD per bottle. CBD has been shown to help reduce stress and anxiety, making this drink a great choice for those who want to relax and unwind. And the best part? You can enjoy all these benefits with Instacart's same-day delivery or pickup option. Sip on Vybes Blackberry Hibiscus and let your worries melt away!","Craving a refreshing drink that will satisfy your thirst and leave you feeling relaxed? Look no further than Rogue Ginger Yuzu CBD Seltzer. Made with carbonated water, apple cider vinegar, natural flavors, and 30mg of nano-emulsified CBD, this sparkling water is packed with flavor and added health benefits. With just 20 calories and 5g of carbs per serving, it's the perfect pick-me-up for any time of day. Plus, it's gluten-free and fat-free to fit into any diet. Enjoy the zesty taste of yuzu combined with invigorating ginger in every sip. Get your hands on Rogue Ginger Yuzu CBD Seltzer with Instacart same-day delivery or pickup.","You crave the taste of a classic cola, but want something extra. Boneyard Elixir King Cola Sparkling CBD Beverage delivers with its blend of refreshing carbonated water, pure cane sugar, citric acid, and natural flavors. Plus, with added hemp extract, each sip offers a unique twist that's sure to please. At only 130 calories per serving and gluten-free, this beverage is perfect for any occasion. Try it today and see for yourself why Boneyard Elixir King Cola Sparkling CBD Beverage is the perfect addition to your drink collection. Available on Instacart for convenient same-day delivery or pickup!"
Recess Peach Ginger Hemp & Adaptogen Infused Sparkling Water,,$5.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e1c970b9-0099-4dc3-b1a0-54deba818642.png 4x,,"Filtered Water, Peach Ginger Tea Infusion (filtered Water, Apple*, Roasted Chicory Root*, Hibiscus*, Licorice Root*, Peach*, Rose Hips*, Ginger*), Peach Juice Concentrate, Pear Juice Concentrate, Natural Flavors, Broad Spectrum Hemp Extract, Peach Powder, Ginseng Powder, Citric Acid, Ginger Powder, L-theanine Powder, Lemon Balm Powder, Monk Fruit Extract *organic Ingredients","keep out of reach of children. children, pregnant or nursing women should consult a physician before use.",,,,,,,,,,,,,,,,
"Recess Pomegranate Hibiscus, Hemp & Adaptogen Infused Sparkling Water",,$5.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bf1571fa-a562-41db-a01d-00a8bd8397b3.png 4x,,"Filtered Water, Hibiscus Tea Infusion (hibiscus Flower*, Lemongrass*, Lemon Balm*), Pomegranate Juice Concentrate, Pear Juice Concentrate, Citric Acid, Natural Flavors, Broad Spectrum Hemp Extract, Ginseng Powder, L-theanine Powder, Lemon Balm Powder, Monk Fruit Extract *organic Ingredients",,,,,,,,,,,,,,,,,
Daytrip Cbd-Infused Sparkling Water,,$4.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8cfa040c-f2d9-4a1a-a8b4-2148b385d33e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_73051b43-0ab6-45a3-80ba-c07b96360391.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_69918db8-2bb2-4769-af20-b16213568b3a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48f01ad5-41db-4760-9493-09334edca094.png 4x",,"Water, Cannabidiol From Hemp, Citric Acid, Terpenes, Natural Flavor.",Contains coconut,,Gluten Free,,,,,,,,,,,,,,
Recess Blood Orange Hemp & Adaptogen Infused Sparkling Water,,$5.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b7a20162-e5a6-4176-9a0b-0742ab5d0d53.png 4x,,"Filtered Water, Orange Tea Infusion (filtered Water, Orange Zest, Orange Oil), Orange Juice Concentrate, Pear Juice Concentrate, Blood Orange Juice Concentrate, Natural Flavors, Lemon Juice Concentrate, Broad Spectrum Hemp Extract, Ginseng Powder, L-theanine Powder, Lemon Balm Powder",,,,,,,,,,,,,,,,,
Recess Black Cherry Hemp & Adaptogen Infused Sparkling Water,,$5.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_29e24c4f-6b2a-44ea-90e6-e6c73784c5d3.png 4x,,"Filtered Water, Cherry Tea Infusion (filtered Water, Dried Cherries), Cherry Juice Concentrate, Natural Flavors, Tart Cherry Powder, Broad Spectrum Hemp Extract, Citric Acid, Ginseng Powder, L-theanine Powder, Lemon Balm Powder, Monk Fruit Extract","keep out of reach of children. children, pregnant or nursing women should consult a physician before use.",,,,,,,,,,,,,,,,
"Dram Herbal Sparkling Water, Citrus & Blossoms, 4 Pack",,$2.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_60824c77-0451-4bf7-bd66-338e81a408e4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7e818e2a-8d46-4d12-a29f-6a95a15084ed.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bf6b9702-39a4-4d28-bf95-d9fd554e018e.png 4x",,"Purified Carbonated Water, Non GMO Glycerine, Rind of Grapefruit (Organic Ingredients), Lemon (Organic Ingredients), Lime (Organic Ingredients), and Orange (Organic Ingredients), Orange Blossom (Organic Ingredients), Hibiscus and Spices (Organic Ingredients).",,,Gluten Free,,,"No Sugar. Vegan. Gluten free. Herbal benefits: Energizing, mood stabilizer and digestive support. What is it? Sparkling water flavored with teal plants crafted in the Rocky Mountains of Colorado. A truly healthy alternative to other flavored sparkling waters, which can contain synthetic chemical flavoring even when labeled as natural flavor, Enjoy as a mixer for cocktails, mocktails, or chilled over ice instead of sugary sodas. Buy a case! BPA free can.",{},,,,,,,,,,
"Dram Herbal Sparkling Water, Cardamom & Black Tea, 4 Pack",,$2.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9e9a316e-049d-42bf-ba1b-b838163bd7e7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75cdd762-2c69-4142-97f2-acb1fbad5c55.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9f8889e6-2cfd-4696-aa03-701d87a2d80b.png 4x",,"Purified Carbonated Water, Glycerine, Black Hawthorn (Organic Ingredients), Fair Trade Black Tea (Organic Ingredients), Black Cardamom (Organic Ingredients), Black Currant (Organic Ingredients), Herbs & Spices (Organic Ingredients).",,,Gluten Free,,,"No Sugar. Vegan. Gluten free. Herbal benefits: Energizing, mood stabilizer and digestive support. What is it? Sparkling water flavored with teal plants crafted in the Rocky Mountains of Colorado A truly healthy alternative to other flavored sparkling waters, which can contain synthetic chemical flavoring even when labeled as ""natural flavor"", Enjoy as a mixer for Cocktails, mocktails, or chilled over ice instead of sugary sodas. Buy a case! BPA free can.",{},,,,,,,,,,
"Dram Herbal Sparkling Water, Lavender & Lemon Balm, 4 Pack",,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bd2c5d76-2a62-4f03-b587-d70028763311.png 4x,,"Purified Carbonated Water, Non-GMO Glycerine, Lavender Flowers (Organic Ingredients), Lemon Balm Leaves (Organic Ingredients), Lemon Peel(Organic Ingredients), Lemongrass (Organic Ingredients), Gentian Root (Organic Ingredients).",,,Gluten Free,,,"What is it? Sparkling water flavored with real plants crafted in the Rocky Mountains of Colorado. A truly healthy alternative to other flavored sparkling waters, which can contain synthetic chemical flavoring even when labeled as ""natural flavor"". Enjoy as a mixer for cocktails, mocktails, or chilled over ice instead of sugary sodas. Gluten free. Vegan. No Sugar. Herbal benefits: Calming, mental clarity, digestive support. Buy a case! Cansource. BPA free can.",{},,,,,,,,,,
VYBES CBD Drinks Mind + Body Function 15mg Hemp Cbd,,$7.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_37c4d285-d0e7-48df-b199-0a1d9e911b9f.jpg 4x,,"Strawberry Juice*, Lemon Juice*, Lavender*, Erythritol*, Stevia Leaf*, Colorado Grown Hemp Cbd*, Malic Acid, Magnesium Citrate, Zinc Citrate & 100% La Vibes!",,,,,,,,,,,,,,,,,
VYBES CBD Drinks Mind + Body Function Hemp,,$7.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b159e5f0-a188-4b00-a0a1-aed1079ab563.jpg 4x,,"Blueberry Juice*, Lemon Juice*, White Grape Juice*, Green Tea*, Erythritol*, Stevia Leaf*, Colorado Grown Hemp Cbd*, Malic Acid, Magnesium Citrate, Citric Acid, Zinc Citrate & 100% La Vibes!",,,,,,,,,,,,,,,,,
Recess Blackberry Chai Hemp & Adaptogen Infused Sparkling Water,,$5.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e376fba-db1c-4039-af15-6df741d2feea.png 4x,,"Filtered Water, Chai Tea Infusion (ginger*, Clove*, Cardamom*, Black Pepper*, Rose Petals*, Black Tea*), Pear Juice Concentrate, Blackberry Juice Concentrate, Natural Flavors, Broad Spectrum Hemp Extract, Blackberry Powder, Ginseng Powder, Apple Powder, Citric Acid, L-theanine Powder, Lemon Balm Powder, Monk Fruit Extract *organic Ingredients","keep out of reach of children. children, pregnant or nursing women should consult a physician before use.",,,,,,,,,,,,,,,,
Daytrip Cbd-Infused Sparkling Water,,$6.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d0f9adb-0c0c-475d-af35-767138fbe303.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_18270484-199d-4120-9ae5-ad4f47bf34c5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f1f59b8d-4f24-4ff5-92cc-304d35993723.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dbd6613e-b847-49a9-bd26-210a28059d7f.png 4x",,"Water, Cannabidiol From Hemp, Citric Acid, Terpenes, Natural Flavor.",,,Gluten Free,,,,,,,,,,,,,,
Daytrip Cbd-Infused Sparkling Water,,$4.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_874ef172-cc46-49ad-a158-b28a7d26ef0b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_700274ca-78cb-4615-8367-12bf4dd43c93.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cf62b4eb-d1a0-4d5e-8809-3e28f6f663fd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f17e0a0-ac35-4e86-923b-7e3280d2b6cb.png 4x",,"Water, Cannabidiol From Hemp, Citric Acid, Terpenes, Natural Flavor.",Contains coconut.,,Gluten Free,,,,,,,,,,,,,,
Daytrip Cbd-Infused Sparkling Water,,$5.39,,,"Water, Cannabidiol From Hemp, Citric Acid, Terpenes, Natural Flavor.",Contains coconut.,,Gluten Free,,,,,,,,,,,,,,
